identifiant;horodate;pluie_mm
2;2022-04-23 19:36:00+02:00;0,3
2;2022-04-23 19:42:00+02:00;0,5
2;2022-04-23 19:48:00+02:00;0,5
2;2022-04-23 19:54:00+02:00;0,2
2;2022-04-23 20:00:00+02:00;0,1
2;2022-04-23 21:00:00+02:00;0,0
2;2022-04-24 20:18:00+02:00;0,1
2;2022-04-24 20:24:00+02:00;0,1
2;2022-04-24 20:30:00+02:00;0,3
2;2022-04-24 20:36:00+02:00;0,4
2;2022-04-24 20:42:00+02:00;0,5
2;2022-04-24 20:48:00+02:00;0,5
2;2022-04-24 20:54:00+02:00;0,2
2;2022-04-24 21:12:00+02:00;0,2
2;2022-04-24 21:42:00+02:00;0,2
2;2022-04-24 21:48:00+02:00;0,4
2;2022-04-24 21:54:00+02:00;0,3
2;2022-04-24 22:00:00+02:00;0,3
2;2022-04-24 22:06:00+02:00;0,2
2;2022-04-24 22:12:00+02:00;0,3
2;2022-04-24 22:18:00+02:00;0,3
2;2022-04-24 22:24:00+02:00;0,4
2;2022-04-24 22:30:00+02:00;0,4
2;2022-04-24 22:36:00+02:00;0,3
2;2022-04-24 22:42:00+02:00;0,4
2;2022-04-24 22:48:00+02:00;0,2
2;2022-04-24 22:54:00+02:00;0,3
2;2022-04-24 23:00:00+02:00;0,1
2;2022-04-24 23:06:00+02:00;0,1
2;2022-04-24 23:12:00+02:00;0,1
2;2022-04-24 23:18:00+02:00;0,1
2;2022-04-24 23:24:00+02:00;0,2
2;2022-04-24 23:42:00+02:00;0,1
2;2022-04-24 23:48:00+02:00;0,1
2;2022-04-25 00:00:00+02:00;0,2
2;2022-04-25 00:18:00+02:00;0,1
2;2022-04-25 00:24:00+02:00;0,2
2;2022-04-25 00:30:00+02:00;0,1
2;2022-04-25 00:48:00+02:00;0,1
2;2022-04-25 01:00:00+02:00;0,1
2;2022-04-25 01:06:00+02:00;0,1
2;2022-04-25 01:18:00+02:00;0,2
2;2022-04-25 01:24:00+02:00;0,1
2;2022-04-25 01:30:00+02:00;0,2
2;2022-04-25 01:36:00+02:00;0,1
2;2022-04-25 01:42:00+02:00;0,1
2;2022-04-25 01:48:00+02:00;0,3
2;2022-04-25 01:54:00+02:00;0,1
2;2022-04-25 02:00:00+02:00;0,3
2;2022-04-25 02:12:00+02:00;0,2
2;2022-04-25 02:36:00+02:00;0,1
2;2022-04-25 02:42:00+02:00;0,1
2;2022-04-25 03:30:00+02:00;0,1
2;2022-04-25 04:30:00+02:00;0,0
2;2022-04-25 21:06:00+02:00;0,1
2;2022-04-25 21:12:00+02:00;0,1
2;2022-04-25 22:12:00+02:00;0,0
2;2022-04-25 22:42:00+02:00;0,5
2;2022-04-25 22:48:00+02:00;0,5
2;2022-04-25 22:54:00+02:00;0,4
2;2022-04-25 23:00:00+02:00;0,2
2;2022-04-25 23:06:00+02:00;0,2
2;2022-04-25 23:12:00+02:00;0,2
2;2022-04-25 23:24:00+02:00;0,1
2;2022-04-25 23:48:00+02:00;0,3
2;2022-04-25 23:54:00+02:00;0,2
2;2022-04-26 00:00:00+02:00;0,1
2;2022-04-26 00:06:00+02:00;0,1
2;2022-04-26 00:12:00+02:00;0,1
2;2022-04-26 00:18:00+02:00;0,1
2;2022-04-26 01:18:00+02:00;0,0
2;2022-04-29 20:00:00+02:00;0,1
2;2022-04-29 20:06:00+02:00;0,1
2;2022-04-29 20:12:00+02:00;0,1
3;2022-04-01 03:06:00+02:00;0,1
3;2022-04-01 04:00:00+02:00;0,1
3;2022-04-01 04:06:00+02:00;0,2
3;2022-04-01 04:24:00+02:00;0,1
3;2022-04-01 04:30:00+02:00;0,1
3;2022-04-01 04:48:00+02:00;0,2
3;2022-04-01 05:06:00+02:00;0,1
3;2022-04-01 05:12:00+02:00;0,1
3;2022-04-01 05:24:00+02:00;0,1
3;2022-04-01 05:36:00+02:00;0,1
3;2022-04-01 05:42:00+02:00;0,1
3;2022-04-01 05:54:00+02:00;0,2
3;2022-04-01 06:00:00+02:00;0,1
3;2022-04-01 06:06:00+02:00;0,1
3;2022-04-01 06:12:00+02:00;0,1
3;2022-04-01 06:18:00+02:00;0,2
3;2022-04-01 06:24:00+02:00;0,2
3;2022-04-01 06:30:00+02:00;0,1
3;2022-04-01 06:36:00+02:00;0,2
3;2022-04-01 06:42:00+02:00;0,2
3;2022-04-01 06:48:00+02:00;0,2
3;2022-04-01 06:54:00+02:00;0,2
3;2022-04-01 07:00:00+02:00;0,1
3;2022-04-01 07:06:00+02:00;0,2
3;2022-04-01 07:12:00+02:00;0,1
3;2022-04-01 07:18:00+02:00;0,2
3;2022-04-01 07:24:00+02:00;0,1
3;2022-04-01 07:30:00+02:00;0,2
3;2022-04-01 07:36:00+02:00;0,1
3;2022-04-01 07:48:00+02:00;0,1
3;2022-04-01 08:00:00+02:00;0,1
3;2022-04-01 08:12:00+02:00;0,1
3;2022-04-01 08:18:00+02:00;0,1
3;2022-04-01 08:24:00+02:00;0,1
3;2022-04-01 08:30:00+02:00;0,2
3;2022-04-01 08:36:00+02:00;0,1
3;2022-04-01 08:48:00+02:00;0,1
3;2022-04-01 09:48:00+02:00;0,0
3;2022-04-01 21:42:00+02:00;0,2
3;2022-04-01 21:48:00+02:00;0,3
3;2022-04-01 21:54:00+02:00;0,5
3;2022-04-01 22:00:00+02:00;0,3
3;2022-04-01 22:06:00+02:00;0,4
3;2022-04-01 22:12:00+02:00;0,1
3;2022-04-01 22:18:00+02:00;0,1
3;2022-04-01 22:24:00+02:00;0,1
3;2022-04-01 22:48:00+02:00;0,1
3;2022-04-01 22:54:00+02:00;0,1
3;2022-04-01 23:06:00+02:00;0,2
3;2022-04-01 23:12:00+02:00;0,1
3;2022-04-01 23:18:00+02:00;0,1
3;2022-04-01 23:24:00+02:00;0,2
3;2022-04-01 23:30:00+02:00;0,1
3;2022-04-01 23:36:00+02:00;0,2
3;2022-04-01 23:48:00+02:00;0,1
3;2022-04-02 00:00:00+02:00;0,1
3;2022-04-02 00:18:00+02:00;0,1
3;2022-04-02 00:42:00+02:00;0,1
3;2022-04-02 00:54:00+02:00;0,1
3;2022-04-02 01:00:00+02:00;0,1
3;2022-04-02 01:06:00+02:00;0,1
3;2022-04-02 01:12:00+02:00;0,1
3;2022-04-02 01:18:00+02:00;0,1
3;2022-04-02 01:30:00+02:00;0,1
3;2022-04-02 01:48:00+02:00;0,1
3;2022-04-02 02:30:00+02:00;0,1
3;2022-04-02 02:54:00+02:00;0,1
3;2022-04-02 03:06:00+02:00;0,1
3;2022-04-02 03:24:00+02:00;0,1
3;2022-04-02 03:30:00+02:00;0,1
3;2022-04-02 03:48:00+02:00;0,1
3;2022-04-02 04:48:00+02:00;0,0
3;2022-04-02 05:24:00+02:00;0,1
3;2022-04-02 06:24:00+02:00;0,0
3;2022-04-02 06:42:00+02:00;0,1
3;2022-04-02 07:18:00+02:00;0,1
3;2022-04-02 08:18:00+02:00;0,0
3;2022-04-02 08:24:00+02:00;0,1
3;2022-04-02 08:42:00+02:00;0,1
3;2022-04-02 09:12:00+02:00;0,1
3;2022-04-02 10:12:00+02:00;0,0
3;2022-04-02 10:18:00+02:00;0,1
3;2022-04-02 10:54:00+02:00;0,1
3;2022-04-02 11:54:00+02:00;0,0
3;2022-04-06 23:48:00+02:00;0,1
3;2022-04-06 23:54:00+02:00;0,1
3;2022-04-07 00:54:00+02:00;0,0
3;2022-04-07 16:42:00+02:00;0,1
3;2022-04-07 16:48:00+02:00;0,1
3;2022-04-07 17:00:00+02:00;0,1
3;2022-04-07 17:36:00+02:00;0,1
3;2022-04-07 18:36:00+02:00;0,0
3;2022-04-08 05:00:00+02:00;0,1
3;2022-04-08 06:00:00+02:00;0,0
