deveui;horodate;degre_celsius
70b3d580a0100600;29/04/2022 14:31;21,875
70b3d580a0100600;29/04/2022 14:31;21,875
70b3d580a0100549;29/04/2022 14:31;21,125
70b3d580a010054c;29/04/2022 14:30;21,375
70b3d580a010054c;29/04/2022 14:30;21,375
70b3d580a0100605;29/04/2022 14:29;21,9375
70b3d580a0100605;29/04/2022 14:29;21,9375
70b3d580a0100647;29/04/2022 14:28;22,125
70b3d580a0100648;29/04/2022 14:26;21,3125
70b3d580a0100623;29/04/2022 14:22;22,1875
70b3d580a0100654;29/04/2022 14:21;21,8125
70b3d580a0100657;29/04/2022 14:17;21,5625
70b3d580a01007a5;29/04/2022 14:14;20,875
70b3d580a0100543;29/04/2022 14:12;21,25
70b3d580a0100543;29/04/2022 14:12;21,25
70b3d580a01006cf;29/04/2022 14:11;21,5
70b3d580a0100656;29/04/2022 14:08;21,0625
70b3d580a0100550;29/04/2022 14:05;21,4375
70b3d580a0100742;29/04/2022 14:04;20,5625
70b3d580a01005fa;29/04/2022 14:03;20,6875
70b3d580a01005fa;29/04/2022 14:03;20,6875
70b3d580a0100600;29/04/2022 14:01;21,125
70b3d580a0100600;29/04/2022 14:01;21,125
70b3d580a0100549;29/04/2022 14:01;20,9375
70b3d580a010054c;29/04/2022 14:00;21
70b3d580a010054c;29/04/2022 14:00;21
70b3d580a0100605;29/04/2022 13:59;21,125
70b3d580a0100605;29/04/2022 13:59;21,125
70b3d580a0100647;29/04/2022 13:58;21,75
70b3d580a0100648;29/04/2022 13:56;20,4375
70b3d580a0100623;29/04/2022 13:52;21,6875
70b3d580a0100654;29/04/2022 13:51;21,5
70b3d580a0100657;29/04/2022 13:47;21,25
70b3d580a0100652;29/04/2022 13:45;19
70b3d580a01007a5;29/04/2022 13:44;19,9375
70b3d580a0100543;29/04/2022 13:42;20,875
70b3d580a0100543;29/04/2022 13:42;20,875
70b3d580a01006cf;29/04/2022 13:41;21,125
70b3d580a0100656;29/04/2022 13:38;20,1875
70b3d580a0100550;29/04/2022 13:35;21,1875
