date;debut;end;count;count_b
03/12/2024;08:30:00;08:45:00;10;
03/12/2024;08:30:00;08:45:00;2;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;0;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;0;
03/12/2024;08:30:00;08:45:00;0;
03/12/2024;08:45:00;09:00:00;8;
03/12/2024;08:45:00;09:00:00;6;
03/12/2024;08:45:00;09:00:00;3;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;08:45:00;09:00:00;59;
03/12/2024;08:45:00;09:00:00;47;
03/12/2024;08:45:00;09:00:00;4;
03/12/2024;08:45:00;09:00:00;1;
03/12/2024;08:45:00;09:00:00;10;
03/12/2024;08:45:00;09:00:00;2;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;08:45:00;09:00:00;2;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;08:45:00;09:00:00;0;
10/06/2025;07:30:00;07:45:00;8;
10/06/2025;07:30:00;07:45:00;4;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;39;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;4;
10/06/2025;07:30:00;07:45:00;28;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;3;
10/06/2025;07:45:00;08:00:00;4;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;3;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;45;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;4;
10/06/2025;07:45:00;08:00:00;39;
10/06/2025;07:45:00;08:00:00;5;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;3;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;08:00:00;08:15:00;3;
10/06/2025;08:00:00;08:15:00;4;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;49;
10/06/2025;08:00:00;08:15:00;3;
10/06/2025;08:00:00;08:15:00;34;
10/06/2025;08:00:00;08:15:00;3;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;2;
10/06/2025;08:15:00;08:30:00;7;
10/06/2025;08:15:00;08:30:00;1;
10/06/2025;08:15:00;08:30:00;1;
10/06/2025;08:15:00;08:30:00;5;
10/06/2025;08:15:00;08:30:00;1;
10/06/2025;08:15:00;08:30:00;1;
10/06/2025;08:15:00;08:30:00;47;
10/06/2025;08:15:00;08:30:00;3;
10/06/2025;08:15:00;08:30:00;6;
10/06/2025;08:15:00;08:30:00;50;
10/06/2025;08:15:00;08:30:00;10;
10/06/2025;08:15:00;08:30:00;5;
10/06/2025;08:15:00;08:30:00;2;
10/06/2025;08:15:00;08:30:00;2;
10/06/2025;08:30:00;08:45:00;8;
10/06/2025;08:30:00;08:45:00;2;
10/06/2025;08:30:00;08:45:00;4;
10/06/2025;08:30:00;08:45:00;4;
10/06/2025;08:30:00;08:45:00;1;
10/06/2025;08:30:00;08:45:00;1;
10/06/2025;08:30:00;08:45:00;65;
10/06/2025;08:30:00;08:45:00;9;
10/06/2025;08:30:00;08:45:00;11;
10/06/2025;08:30:00;08:45:00;58;
10/06/2025;08:30:00;08:45:00;10;
10/06/2025;08:30:00;08:45:00;6;
10/06/2025;08:30:00;08:45:00;4;
10/06/2025;08:30:00;08:45:00;1;
10/06/2025;08:45:00;09:00:00;6;
10/06/2025;08:45:00;09:00:00;1;
10/06/2025;08:45:00;09:00:00;6;
10/06/2025;08:45:00;09:00:00;3;
10/06/2025;08:45:00;09:00:00;1;
10/06/2025;08:45:00;09:00:00;1;
10/06/2025;08:45:00;09:00:00;41;
10/06/2025;08:45:00;09:00:00;6;
10/06/2025;08:45:00;09:00:00;10;
10/06/2025;08:45:00;09:00:00;38;
10/06/2025;08:45:00;09:00:00;7;
10/06/2025;08:45:00;09:00:00;3;
05/12/2023;00:00:00;23:59:00;1500;
06/12/2022;00:00:00;23:59:00;1398;
03/12/2024;00:00:00;23:59:00;1722;
10/06/2025;00:00:00;23:59:00;2228;
11/06/2024;00:00:00;23:59:00;1852;
20/06/2023;00:00:00;23:59:00;1785;
05/12/2023;07:30:00;09:00:00;270;
05/12/2023;07:30:00;09:00:00;8;
03/12/2024;07:30:00;07:45:00;23;
03/12/2024;07:45:00;08:00:00;11;
03/12/2024;08:00:00;08:15:00;21;
03/12/2024;08:15:00;08:30:00;9;
03/12/2024;08:30:00;08:45:00;18;
03/12/2024;08:45:00;09:00:00;21;
03/12/2024;08:00:00;08:15:00;6;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;07:30:00;07:45:00;4;
03/12/2024;07:45:00;08:00:00;24;
03/12/2024;08:00:00;08:15:00;12;
03/12/2024;08:15:00;08:30:00;22;
03/12/2024;08:30:00;08:45:00;26;
03/12/2024;08:45:00;09:00:00;20;
03/12/2024;08:00:00;08:15:00;1;
03/12/2024;08:45:00;09:00:00;1;
03/12/2024;07:45:00;08:00:00;1;
03/12/2024;07:30:00;07:45:00;3;
03/12/2024;07:45:00;08:00:00;5;
03/12/2024;08:00:00;08:15:00;4;
03/12/2024;08:15:00;08:30:00;8;
03/12/2024;08:30:00;08:45:00;12;
03/12/2024;08:45:00;09:00:00;10;
03/12/2024;07:30:00;07:45:00;5;
