channel_id;channel_provider_id;mobility_type;started_at;last_updated_at;time_step
353472512;353472512;E-SCOOTER;2024-04-20 13:00:00+02:00;2025-12-17 23:30:00+01:00;1800
101046125;101046125;PEDESTRIAN;2018-11-16 00:00:00+01:00;2025-12-15 13:15:00+01:00;900
103030404;103030404;BUS;2016-04-01 00:00:00+02:00;;900
353302096;353302096;TRUCK;2021-08-31 00:00:00+02:00;;780
353486484;353486484;BIKE;2013-01-01 00:00:00+01:00;;3600
353316237;353316237;CAR;2022-06-10 12:00:00+02:00;2023-04-07 19:13:00+02:00;900
353316238;353316238;CAR;2022-06-10 12:00:00+02:00;2023-04-07 19:13:00+02:00;900
353316239;353316239;TRUCK;2022-06-10 12:00:00+02:00;2023-04-07 19:13:00+02:00;900
353316240;353316240;TRUCK;2022-06-10 12:00:00+02:00;2023-04-07 19:13:00+02:00;900
353359667;353359667;UNDEFINED;2023-03-01 00:00:00+01:00;;900
353244001;353244001;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353244005;353244005;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
101026725;101026725;BIKE;2013-01-01 00:00:00+01:00;2025-07-05 02:00:00+02:00;3600
102026725;102026725;BIKE;2013-01-01 00:00:00+01:00;2025-07-05 02:00:00+02:00;3600
102029837;102029837;CAR;2016-01-01 00:00:00+01:00;;900
101030637;101030637;PEDESTRIAN;2016-05-27 00:00:00+02:00;2025-12-18 00:00:00+01:00;3600
102031125;102031125;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353479386;353479386;BIKE;2016-07-06 00:00:00+02:00;2025-12-18 00:00:00+01:00;3600
353479387;353479387;BIKE;2016-07-06 00:00:00+02:00;2025-12-18 00:00:00+01:00;3600
353479388;353479388;E-SCOOTER;2016-07-06 00:00:00+02:00;2025-12-18 00:00:00+01:00;3600
353479389;353479389;E-SCOOTER;2016-07-06 00:00:00+02:00;2025-12-18 00:00:00+01:00;3600
353399188;353399188;BIKE;2013-01-01 00:00:00+01:00;2025-12-17 23:15:00+01:00;900
103031124;103031124;BIKE;2013-01-01 00:00:00+01:00;2024-09-23 00:00:00+02:00;900
353491057;353491057;E-SCOOTER;2024-11-06 18:15:00+01:00;2025-12-17 23:15:00+01:00;900
